count,word
2,2012年
2,24時間
2,Ameba
2,Android
2,App
2,Apple
2,Appliv
2,Aコース
2,Cargo
2,Challenges
2,Coupons
2,Diet
2,FAN
2,Facebook
2,GW
2,Go
2,Google
4,H.I.S.
2,HP
2,JR東日本
2,JRバス東北
2,JTB
2,MERY
2,MI
2,NAVER
2,NAVI
2,NEXCO東日本
2,Nutrisystem
  22,PDF
2,PR
2,Play
2,Store
2,TOHOKU
2,TOP
2,Togetter
2,Tohoku
2,Twitter
2,VisitJapan
2,Walkerplus
2,Watch
2,Web
2,Wi-Fi
2,Wikipedia
2,Yahoo!
2,YouTube
2,amas
2,com
2,for
2,goo
2,gt
2,iTunes
2,net
2,taBeee
2,tabitte
2,to
2,tohoku
2,vj
2,冬
2,割
8,北
4,城
2,夏
2,客
2,得
2,秋
2,美
2,覧
2,閣
2,静
2,駅
2,いざ
2,がた
2,ここ
2,たま
2,ぷら
2,やぎ
2,るる
2,カギ
6,ドラ
4,ナビ
4,バス
2,ブロ
2,事業
4,人気
  12,仙台
2,全域
2,北上
2,半額
  10,協会
4,名所
2,商品
2,図鑑
2,国内
2,地域
2,外国
2,外語
2,大学
2,大阪
2,女子
2,学科
2,学部
  10,宮城
2,宴会
2,山形
4,岩手
2,市内
2,年中
6,情報
2,新宿
2,方策
2,旅費
2,期間
 162,東北
2,栃木
2,機構
2,湖水
2,無休
2,無料
2,物語
2,理由
4,男鹿
2,盛岡
2,短大
4,秋田
2,穴場
6,絶景
2,花巻
2,茂木
2,規模
2,視点
2,言葉
2,記事
2,課題
2,貸切
2,路線
2,辞典
2,鉄道
2,雫石
4,青森
6,魅力
2,鳴子
2,東北6県
2,きっぷ
2,まつり
4,まとめ
2,アプリ
2,グルメ
2,コース
6,サイト
8,ツアー
  10,フリー
2,マップ
2,メリー
4,中国人
2,事務所
4,北海道
2,国内外
2,昭文社
2,（株）
2,あふれる
2,おでかけ
2,きたかみ
2,みちのく
2,もう一度
2,アプリヴ
2,イサーン
2,カテゴリ
2,クチコミ
2,クラチエ
2,クレソン
2,コテージ
8,スポット
2,タクシー
2,タビスル
4,トラベル
2,ニュース
2,ビジョン
4,ポータル
2,マピオン
2,会津鉄道
2,八幡平市
2,基本計画
2,安比温泉
2,専門学校
4,有限会社
8,東北地方
4,株式会社
2,機械翻訳
2,河北新報
2,産経新聞
2,短期大学
2,親善大使
6,観光バス
2,観光名所
2,観光地図
  10,観光情報
2,貸切バス
2,高速バス
2,えきねっと
2,インプレス
2,オンライン
2,コロッセオ
2,サポーター
2,チャンネル
2,バラエティ
4,パスポート
2,フォーラム
8,ランキング
4,レンタカー
2,公式サイト
2,国土交通省
  16,東北観光博
8,観光ガイド
2,阪急交通社
2,鳴子温泉郷
2,大阪駅前第1ビル
2,アサヒビール
4,ガイドブック
2,コンパニオン
2,ツリーハウス
2,テーマパーク
2,トップページ
4,パンフレット
2,ポンパドール
2,リクナビ進学
2,レジャー施設
2,公益社団法人
2,公益財団法人
2,東日本大震災
2,楽天トラベル
  12,観光スポット
2,コンベンション
2,トウホクパワー
2,ヒノヤタクシー
2,フォートラベル
2,ポータルサイト
2,日本商工会議所
2,ウォーカープラス
2,シルバーウィーク
2,タイ国政府観光庁
2,ハフィントンポスト
2,近畿日本ツーリスト
2,トリップアドバイザー
2,東北楽天ゴールデンイーグルス
